SampleID;PlantID;Management;Medium;Organ;BacterialClass;Count
Soil_P1;P1;Organic;Commercial;Soil;Actinomycetia;2
Soil_P2;P2;Organic;Commercial;Soil;Actinomycetia;1
Soil_P3;P3;Organic;Commercial;Soil;Actinomycetia;1
Soil_P4;P4;Organic;Commercial;Soil;Actinomycetia;1
Soil_P5;P5;Organic;Commercial;Soil;Actinomycetia;1
Soil_P1;P1;Organic;Commercial;Soil;Bacilli;8
Soil_P2;P2;Organic;Commercial;Soil;Bacilli;9
Soil_P3;P3;Organic;Commercial;Soil;Bacilli;13
Soil_P4;P4;Organic;Commercial;Soil;Bacilli;10
Soil_P5;P5;Organic;Commercial;Soil;Bacilli;11
Soil_P1;P1;Organic;Commercial;Soil;Gammaproteobacteria;1
Soil_P2;P2;Organic;Commercial;Soil;Gammaproteobacteria;3
Soil_P3;P3;Organic;Commercial;Soil;Gammaproteobacteria;1
Soil_P4;P4;Organic;Commercial;Soil;Gammaproteobacteria;0
Soil_P5;P5;Organic;Commercial;Soil;Gammaproteobacteria;1
Soil_P1;P1;Organic;Natural;Soil;Actinomycetia;6
Soil_P2;P2;Organic;Natural;Soil;Actinomycetia;2
Soil_P3;P3;Organic;Natural;Soil;Actinomycetia;9
Soil_P4;P4;Organic;Natural;Soil;Actinomycetia;3
Soil_P5;P5;Organic;Natural;Soil;Actinomycetia;7
Soil_P1;P1;Organic;Natural;Soil;Bacilli;6
Soil_P2;P2;Organic;Natural;Soil;Bacilli;4
Soil_P3;P3;Organic;Natural;Soil;Bacilli;2
Soil_P4;P4;Organic;Natural;Soil;Bacilli;4
Soil_P5;P5;Organic;Natural;Soil;Bacilli;1
Soil_P1;P1;Organic;Natural;Soil;Alphaproteobacteria;0
Soil_P2;P2;Organic;Natural;Soil;Alphaproteobacteria;0
Soil_P3;P3;Organic;Natural;Soil;Alphaproteobacteria;1
Soil_P4;P4;Organic;Natural;Soil;Alphaproteobacteria;0
Soil_P5;P5;Organic;Natural;Soil;Alphaproteobacteria;1
Soil_P1;P1;Organic;Natural;Soil;Gammaproteobacteria;1
Soil_P2;P2;Organic;Natural;Soil;Gammaproteobacteria;2
Soil_P3;P3;Organic;Natural;Soil;Gammaproteobacteria;1
Soil_P4;P4;Organic;Natural;Soil;Gammaproteobacteria;1
Soil_P5;P5;Organic;Natural;Soil;Gammaproteobacteria;1
Soil_P1;P1;Conventional;Commercial;Soil;Acidithiobacillia;0
Soil_P2;P2;Conventional;Commercial;Soil;Acidithiobacillia;1
Soil_P3;P3;Conventional;Commercial;Soil;Acidithiobacillia;0
Soil_P4;P4;Conventional;Commercial;Soil;Acidithiobacillia;0
Soil_P5;P5;Conventional;Commercial;Soil;Acidithiobacillia;0
Soil_P1;P1;Conventional;Commercial;Soil;Bacilli;7
Soil_P2;P2;Conventional;Commercial;Soil;Bacilli;2
Soil_P3;P3;Conventional;Commercial;Soil;Bacilli;9
Soil_P4;P4;Conventional;Commercial;Soil;Bacilli;11
Soil_P5;P5;Conventional;Commercial;Soil;Bacilli;5
Soil_P1;P1;Conventional;Natural;Soil;Actinomycetia;3
Soil_P2;P2;Conventional;Natural;Soil;Actinomycetia;2
Soil_P3;P3;Conventional;Natural;Soil;Actinomycetia;5
Soil_P4;P4;Conventional;Natural;Soil;Actinomycetia;1
Soil_P5;P5;Conventional;Natural;Soil;Actinomycetia;2
Soil_P1;P1;Conventional;Natural;Soil;Gammaproteobacteria;1
Soil_P2;P2;Conventional;Natural;Soil;Gammaproteobacteria;0
Soil_P3;P3;Conventional;Natural;Soil;Gammaproteobacteria;1
Soil_P4;P4;Conventional;Natural;Soil;Gammaproteobacteria;0
Soil_P5;P5;Conventional;Natural;Soil;Gammaproteobacteria;0
Soil_P1;P1;Conventional;Natural;Soil;Alphaproteobacteria;0
Soil_P2;P2;Conventional;Natural;Soil;Alphaproteobacteria;0
Soil_P3;P3;Conventional;Natural;Soil;Alphaproteobacteria;1
Soil_P4;P4;Conventional;Natural;Soil;Alphaproteobacteria;0
Soil_P5;P5;Conventional;Natural;Soil;Alphaproteobacteria;0
Soil_P1;P1;Wild;Commercial;Soil;Alphaproteobacteria;1
Soil_P2;P2;Wild;Commercial;Soil;Alphaproteobacteria;0
Soil_P3;P3;Wild;Commercial;Soil;Alphaproteobacteria;1
Soil_P4;P4;Wild;Commercial;Soil;Alphaproteobacteria;0
Soil_P5;P5;Wild;Commercial;Soil;Alphaproteobacteria;1
Soil_P1;P1;Wild;Commercial;Soil;Actinomycetia;2
Soil_P2;P2;Wild;Commercial;Soil;Actinomycetia;4
Soil_P3;P3;Wild;Commercial;Soil;Actinomycetia;2
Soil_P4;P4;Wild;Commercial;Soil;Actinomycetia;1
Soil_P5;P5;Wild;Commercial;Soil;Actinomycetia;2
Soil_P1;P1;Wild;Commercial;Soil;Bacilli;2
Soil_P2;P2;Wild;Commercial;Soil;Bacilli;6
Soil_P3;P3;Wild;Commercial;Soil;Bacilli;1
Soil_P4;P4;Wild;Commercial;Soil;Bacilli;3
Soil_P5;P5;Wild;Commercial;Soil;Bacilli;2
Soil_P1;P1;Wild;Commercial;Soil;Sphingobacteriia;0
Soil_P2;P2;Wild;Commercial;Soil;Sphingobacteriia;0
Soil_P3;P3;Wild;Commercial;Soil;Sphingobacteriia;1
Soil_P4;P4;Wild;Commercial;Soil;Sphingobacteriia;0
Soil_P5;P5;Wild;Commercial;Soil;Sphingobacteriia;0
Soil_P1;P1;Wild;Commercial;Soil;Gammaproteobacteria;0
Soil_P2;P2;Wild;Commercial;Soil;Gammaproteobacteria;1
Soil_P3;P3;Wild;Commercial;Soil;Gammaproteobacteria;1
Soil_P4;P4;Wild;Commercial;Soil;Gammaproteobacteria;0
Soil_P5;P5;Wild;Commercial;Soil;Gammaproteobacteria;1
Soil_P1;P1;Wild;Natural;Soil;Actinomycetia;2
Soil_P2;P2;Wild;Natural;Soil;Actinomycetia;1
Soil_P3;P3;Wild;Natural;Soil;Actinomycetia;1
Soil_P4;P4;Wild;Natural;Soil;Actinomycetia;1
Soil_P5;P5;Wild;Natural;Soil;Actinomycetia;1
Soil_P1;P1;Wild;Natural;Soil;Bacilli;1
Soil_P2;P2;Wild;Natural;Soil;Bacilli;1
Soil_P3;P3;Wild;Natural;Soil;Bacilli;0
Soil_P4;P4;Wild;Natural;Soil;Bacilli;0
Soil_P5;P5;Wild;Natural;Soil;Bacilli;1
Soil_P1;P1;Wild;Natural;Soil;Alphaproteobacteria;0
Soil_P2;P2;Wild;Natural;Soil;Alphaproteobacteria;0
Soil_P3;P3;Wild;Natural;Soil;Alphaproteobacteria;0
Soil_P4;P4;Wild;Natural;Soil;Alphaproteobacteria;0
Soil_P5;P5;Wild;Natural;Soil;Alphaproteobacteria;1
Leaf_P1;P1;Organic;Commercial;Leaf;Actinomycetia;2
Leaf_P2;P2;Organic;Commercial;Leaf;Actinomycetia;1
Leaf_P3;P3;Organic;Commercial;Leaf;Actinomycetia;1
Leaf_P4;P4;Organic;Commercial;Leaf;Actinomycetia;1
Leaf_P5;P5;Organic;Commercial;Leaf;Actinomycetia;4
Leaf_P1;P1;Organic;Commercial;Leaf;Bacilli;3
Leaf_P2;P2;Organic;Commercial;Leaf;Bacilli;8
Leaf_P3;P3;Organic;Commercial;Leaf;Bacilli;4
Leaf_P4;P4;Organic;Commercial;Leaf;Bacilli;5
Leaf_P5;P5;Organic;Commercial;Leaf;Bacilli;13
