SampleID;PlantID;Management;Medium;Organ;FungalClass;Count
Bark_P1;P1;Conventional;Commercial;Bark;Dothideomycetes;3
Bark_P2;P2;Conventional;Commercial;Bark;Dothideomycetes;5
Bark_P3;P3;Conventional;Commercial;Bark;Dothideomycetes;4
Bark_P4;P4;Conventional;Commercial;Bark;Dothideomycetes;3
Bark_P5;P5;Conventional;Commercial;Bark;Dothideomycetes;5
Bark_P1;P1;Conventional;Natural;Bark;Dothideomycetes;1
Bark_P2;P2;Conventional;Natural;Bark;Dothideomycetes;1
Bark_P3;P3;Conventional;Natural;Bark;Dothideomycetes;1
Bark_P4;P4;Conventional;Natural;Bark;Dothideomycetes;1
Bark_P5;P5;Conventional;Natural;Bark;Dothideomycetes;1
Bark_P1;P1;Conventional;Commercial;Bark;Eurotiomycetes;1
Bark_P2;P2;Conventional;Commercial;Bark;Eurotiomycetes;0
Bark_P3;P3;Conventional;Commercial;Bark;Eurotiomycetes;0
Bark_P4;P4;Conventional;Commercial;Bark;Eurotiomycetes;0
Bark_P5;P5;Conventional;Commercial;Bark;Eurotiomycetes;1
Bark_P1;P1;Conventional;Natural;Bark;Eurotiomycetes;0
Bark_P2;P2;Conventional;Natural;Bark;Eurotiomycetes;0
Bark_P3;P3;Conventional;Natural;Bark;Eurotiomycetes;0
Bark_P4;P4;Conventional;Natural;Bark;Eurotiomycetes;1
Bark_P5;P5;Conventional;Natural;Bark;Eurotiomycetes;0
Grape_P1;P1;Conventional;Commercial;Grape;Dothideomycetes;4
Grape_P2;P2;Conventional;Commercial;Grape;Dothideomycetes;6
Grape_P3;P3;Conventional;Commercial;Grape;Dothideomycetes;5
Grape_P4;P4;Conventional;Commercial;Grape;Dothideomycetes;8
Grape_P5;P5;Conventional;Commercial;Grape;Dothideomycetes;4
Grape_P1;P1;Conventional;Natural;Grape;Dothideomycetes;2
Grape_P2;P2;Conventional;Natural;Grape;Dothideomycetes;1
Grape_P3;P3;Conventional;Natural;Grape;Dothideomycetes;2
Grape_P4;P4;Conventional;Natural;Grape;Dothideomycetes;1
Grape_P5;P5;Conventional;Natural;Grape;Dothideomycetes;1
Grape_P1;P1;Conventional;Commercial;Grape;Sordariomycetes;1
Grape_P2;P2;Conventional;Commercial;Grape;Sordariomycetes;0
Grape_P3;P3;Conventional;Commercial;Grape;Sordariomycetes;0
Grape_P4;P4;Conventional;Commercial;Grape;Sordariomycetes;0
Grape_P5;P5;Conventional;Commercial;Grape;Sordariomycetes;1
Grape_P1;P1;Conventional;Natural;Grape;Sordariomycetes;0
Grape_P2;P2;Conventional;Natural;Grape;Sordariomycetes;0
Grape_P3;P3;Conventional;Natural;Grape;Sordariomycetes;0
Grape_P4;P4;Conventional;Natural;Grape;Sordariomycetes;1
Grape_P5;P5;Conventional;Natural;Grape;Sordariomycetes;1
Grape_P1;P1;Conventional;Commercial;Grape;Eurotiomycetes;2
Grape_P2;P2;Conventional;Commercial;Grape;Eurotiomycetes;3
Grape_P3;P3;Conventional;Commercial;Grape;Eurotiomycetes;2
Grape_P4;P4;Conventional;Commercial;Grape;Eurotiomycetes;1
Grape_P5;P5;Conventional;Commercial;Grape;Eurotiomycetes;2
Grape_P1;P1;Conventional;Natural;Grape;Eurotiomycetes;0
Grape_P2;P2;Conventional;Natural;Grape;Eurotiomycetes;1
Grape_P3;P3;Conventional;Natural;Grape;Eurotiomycetes;0
Grape_P4;P4;Conventional;Natural;Grape;Eurotiomycetes;0
Grape_P5;P5;Conventional;Natural;Grape;Eurotiomycetes;0
Leaf_P1;P1;Conventional;Commercial;Leaf;Dothideomycetes;4
Leaf_P2;P2;Conventional;Commercial;Leaf;Dothideomycetes;7
Leaf_P3;P3;Conventional;Commercial;Leaf;Dothideomycetes;3
Leaf_P4;P4;Conventional;Commercial;Leaf;Dothideomycetes;5
Leaf_P5;P5;Conventional;Commercial;Leaf;Dothideomycetes;9
Leaf_P1;P1;Conventional;Natural;Leaf;Dothideomycetes;5
Leaf_P2;P2;Conventional;Natural;Leaf;Dothideomycetes;6
Leaf_P3;P3;Conventional;Natural;Leaf;Dothideomycetes;4
Leaf_P4;P4;Conventional;Natural;Leaf;Dothideomycetes;8
Leaf_P5;P5;Conventional;Natural;Leaf;Dothideomycetes;3
Leaf_P1;P1;Conventional;Commercial;Leaf;Eurotiomycetes;2
Leaf_P2;P2;Conventional;Commercial;Leaf;Eurotiomycetes;1
Leaf_P3;P3;Conventional;Commercial;Leaf;Eurotiomycetes;2
